epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5926.98,0.65771,0.49947,1.03571,0.8232,0.9784,0.98833,0.81886,0.7626,0.59172,0.94317,0.00048586,0.00048586,0.00048586
82,6003.61,0.68206,0.46346,1.03915,0.9364,1,0.98833,0.80993,0.75881,0.505,0.94019,0.000474071,0.000474071,0.000474071
83,6095.61,0.65669,0.46315,1.0227,0.9666,0.93344,0.98833,0.82285,0.73267,0.46883,0.92654,0.000462281,0.000462281,0.000462281
84,6171.96,0.62613,0.43712,0.9777,0.9666,0.93344,0.98833,0.82285,0.73267,0.46883,0.92654,0.000450492,0.000450492,0.000450492
85,6245.53,0.66589,0.44166,0.96595,0.98653,0.94415,0.995,0.82463,0.75122,0.45104,0.92991,0.000438703,0.000438703,0.000438703
86,6316.3,0.64522,0.43351,0.98243,0.96814,0.94056,0.995,0.81193,0.78055,0.49361,0.93939,0.000426914,0.000426914,0.000426914
87,6393.12,0.63835,0.4796,1.01491,0.9661,0.94106,0.995,0.7868,0.86213,0.50411,0.97368,0.000415124,0.000415124,0.000415124
88,6493.25,0.65997,0.44369,1.0174,0.9661,0.94106,0.995,0.7868,0.86213,0.50411,0.97368,0.000403335,0.000403335,0.000403335
89,6574.67,0.66526,0.42882,0.98658,0.97571,0.94254,0.995,0.79924,0.86408,0.45609,0.97523,0.000391546,0.000391546,0.000391546
90,6643.87,0.6524,0.47253,0.96635,0.91862,0.99557,0.995,0.81312,0.76834,0.43506,0.93025,0.000379757,0.000379757,0.000379757
91,6715.09,0.61272,0.42495,0.94608,0.91862,0.99557,0.995,0.81312,0.76834,0.43506,0.93025,0.000367967,0.000367967,0.000367967
92,6790.49,0.66167,0.44739,1.0099,0.95701,0.99082,0.995,0.82834,0.73197,0.38885,0.91726,0.000356178,0.000356178,0.000356178
93,6862.37,0.685,0.44355,1.03298,0.96263,0.99148,0.995,0.84202,0.73597,0.39068,0.92377,0.000344389,0.000344389,0.000344389
94,6939.51,0.65871,0.45123,0.98356,0.96263,0.99148,0.995,0.84202,0.73597,0.39068,0.92377,0.0003326,0.0003326,0.0003326
95,7008.68,0.59777,0.445,0.93054,0.98922,1,0.995,0.83634,0.75394,0.37282,0.93954,0.00032081,0.00032081,0.00032081
96,7078.52,0.63232,0.40902,0.93231,0.99096,1,0.995,0.83158,0.76253,0.37159,0.94665,0.000309021,0.000309021,0.000309021
